institute,program,quota,seat_type,gender,opening_rank,closing_rank,round,year,is_special_round,institute_type,is_pwd,category_base,gender_short,rank_window,competitiveness_score,iit_generation,nit_region,program_category,yoy_closing_rank_change,is_new_age_program,is_top_tier_college,accessibility_label,last_round
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,12189,12232,6,2020,False,GFTI,False,SC,GN,43,0.872,Not IIT,Not NIT,Other,1914.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,11458,11943,6,2021,False,GFTI,False,SC,GN,485,0.8325,Not IIT,Not NIT,Other,-289.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,5665,12414,6,2022,False,GFTI,False,SC,GN,6749,0.8379,Not IIT,Not NIT,Other,471.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,10988,11364,6,2023,False,GFTI,False,SC,GN,376,0.8857,Not IIT,Not NIT,Other,-1050.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,11540,14075,6,2025,False,GFTI,False,SC,GN,2535,0.8853,Not IIT,Not NIT,Other,2711.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,27579,30047,5,2019,False,GFTI,False,SC,GN,2468,0.6954,Not IIT,Not NIT,Other,7672.0,False,False,Moderate Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,21045,26400,5,2024,False,GFTI,False,SC,GN,5355,0.8003,Not IIT,Not NIT,Other,2919.0,False,False,Moderate Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,22843,22888,6,2018,False,GFTI,False,SC,GN,45,0.7685,Not IIT,Not NIT,Other,787.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,25908,30569,6,2020,False,GFTI,False,SC,GN,4661,0.6802,Not IIT,Not NIT,Other,7681.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,18462,23045,6,2021,False,GFTI,False,SC,GN,4583,0.6767,Not IIT,Not NIT,Other,-7524.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,14287,19912,6,2022,False,GFTI,False,SC,GN,5625,0.74,Not IIT,Not NIT,Other,-3133.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,22793,25922,6,2023,False,GFTI,False,SC,GN,3129,0.7392,Not IIT,Not NIT,Other,6010.0,False,False,Moderate Competition,6
